anmerkung_gedruckt_von;anmerkung_Drucker;Drucker;gnd_Drucker;tw_id;ISNI;IDD
null;null;"Drucker von Nicolaus de Lyra ""Contra Hebraeos"" (H 10408)";null;null;null;IDD-316
null;null;Jacobinus Suigus;129072052;null;null;IDD-317
null;null;Georgius Arrivabene;128973234;null;null;IDD-318
null;null;Paganinus de Paganinis;1037551729;null;null;IDD-318
null;null;Franciscus Renner de Heilbronn;138332290;null;null;IDD-319
null;null;Franciscus Renner de Heilbronn;138332290;null;null;IDD-320
null;null;Andreas Torresanus;120730030;null;null;IDD-321
null;null;Bartholomaeus de Blavis;1037617150;null;null;IDD-321
null;null;Mapheus de Paterbonis;141189061;null;null;IDD-321
null;null;Leonardus Wild;1037618734;null;null;IDD-323
null;null;Leonardus Pachel;120259516;null;null;IDD-324
null;null;Uldericus Scinzenzeler;13839413X;null;null;IDD-324
null;null;Franciscus Renner de Heilbronn;138332290;null;null;IDD-325
null;null;Petrus de Bartua;1172033803;null;null;IDD-325
null;null;Franciscus Renner de Heilbronn;138332290;null;null;IDD-326
null;null;Nicolaus de Frankfordia;137194714;null;null;IDD-326
null;null;Bartholomaeus de Valdezoccho;103765692X;null;null;IDD-327
null;null;Martinus de Septem Arboribus;1192053249;null;null;IDD-327
null;null;Franciscus de Benedictis;1037568109;null;null;IDD-328
null;null;Stephan Plannck;101669968;null;null;IDD-329
