IDD,anmerkung,Datum
IDD-381,null,"1521-06-25, nach"
IDD-021,null,1522-00-00
IDD-261,null,1522-00-00
IDD-081,null,1523-00-00
IDD-123,null,1523-00-00
IDD-134,null,1523-00-00
IDD-139,null,1523-00-00
IDD-379,null,1523-00-00
IDD-048,null,1524-00-00
IDD-049,null,1524-00-00
IDD-058,null,1524-00-00
IDD-059,null,1524-00-00
IDD-060,null,1524-00-00
IDD-083,null,1524-00-00
IDD-084,null,1524-00-00
IDD-085,null,1524-00-00
IDD-256,null,1524-00-00
IDD-084,null,1524-00-00
IDD-085,null,1524-00-00
IDD-256,null,1524-00-00
IDD-084,null,1524-00-00
IDD-085,null,1524-00-00
IDD-256,null,1524-00-00
IDD-010,null,1525-00-00
IDD-013,null,1525-00-00
IDD-042,null,1525-00-00
IDD-067,null,1525-00-00
IDD-240,null,1525-00-00
IDD-265,null,1525-00-00
IDD-266,null,1525-00-00
IDD-387,"(1) 1525-00-00, um (Schöner 417) oder (2) 1575-00-00, um (Schöner 274)","1525-00-00, um"
IDD-267,null,1526-00-00
IDD-014,null,1527-00-00
IDD-268,null,1527-00-00
IDD-269,null,1527-00-00
IDD-002,null,1528-00-00
IDD-043,null,1528-00-00
IDD-270,null,1528-00-00
IDD-271,null,1529-00-00
IDD-272,null,1529-00-00
IDD-407,null,1529-00-00
IDD-387,"(1) 1525-00-00, um (Schöner 417) oder (2) 1575-00-00, um (Schöner 274)","1575-00-00, um "
IDD-408,null,null
IDD-409,null,null
IDD-410,null,null
IDD-411,null,null
